Seed	Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
102	ChimeraTE	25x	12	85	5	7	80	0.4166666666666667	0.0588235294117647	0.10309278350515463
102	ChimeraTE	50x	14	85	7	7	78	0.5	0.08235294117647059	0.1414141414141414
102	ChimeraTE	100x	18	85	9	9	76	0.5	0.10588235294117648	0.17475728155339806
103	TEDDY	5x	77	118	75	2	43	0.974025974025974	0.635593220338983	0.7692307692307693
103	TEDDY	10x	90	118	88	2	30	0.9777777777777776	0.7457627118644068	0.8461538461538461
103	TEDDY	25x	102	118	100	2	18	0.9803921568627452	0.847457627118644	0.9090909090909092
103	TEDDY	50x	107	118	105	2	13	0.9813084112149532	0.8898305084745762	0.9333333333333332
103	TEDDY	100x	112	118	110	2	8	0.9821428571428572	0.9322033898305084	0.9565217391304348
103	TEProf2	5x	23	30	9	14	21	0.391304347826087	0.3	0.33962264150943394
103	TEProf2	10x	25	30	11	14	19	0.44	0.36666666666666664	0.4
103	TEProf2	25x	25	30	11	14	19	0.44	0.36666666666666664	0.4
103	TEProf2	50x	26	30	11	15	19	0.4230769230769231	0.36666666666666664	0.3928571428571429
103	TEProf2	100x	26	30	12	14	18	0.4615384615384616	0.4	0.42857142857142855
103	FREDY	5x	289	157	152	137	5	0.5259515570934256	0.9681528662420382	0.6816143497757847
103	FREDY	10x	290	157	153	137	4	0.5275862068965518	0.9745222929936306	0.6845637583892618
103	FREDY	25x	290	157	153	137	4	0.5275862068965518	0.9745222929936306	0.6845637583892618
103	FREDY	50x	290	157	153	137	4	0.5275862068965518	0.9745222929936306	0.6845637583892618
103	FREDY	100x	289	157	152	137	5	0.5259515570934256	0.9681528662420382	0.6816143497757847
103	LIONS	5x	12	30	3	9	27	0.25	0.1	0.14285714285714285
103	LIONS	10x	17	30	4	13	26	0.2352941176470588	0.13333333333333333	0.1702127659574468
103	LIONS	25x	15	30	3	12	27	0.2	0.1	0.13333333333333333
103	LIONS	50x	17	30	3	14	27	0.17647058823529413	0.1	0.1276595744680851
103	LIONS	100x	18	30	5	13	25	0.2777777777777778	0.16666666666666666	0.20833333333333337
103	Arriba	5x	20	118	3	17	115	0.15	0.02542372881355932	0.04347826086956521
103	Arriba	10x	30	118	6	24	112	0.2	0.05084745762711865	0.08108108108108109
103	Arriba	25x	55	118	11	44	107	0.2	0.093220338983050835	0.12716763005780346
103	Arriba	50x	81	118	17	64	101	0.20987654320987653	0.1440677966101695	0.1708542713567839
103	Arriba	100x	115	118	23	92	95	0.2	0.19491525423728817	0.19742489270386265
103	ChimeraTE	5x	12	118	6	6	112	0.5	0.05084745762711865	0.09230769230769233
103	ChimeraTE	10x	16	118	8	8	110	0.5	0.06779661016949153	0.11940298507462686
103	ChimeraTE	25x	18	118	8	10	110	0.4444444444444444	0.06779661016949153	0.1176470588235294
103	ChimeraTE	50x	26	118	11	15	107	0.4230769230769231	0.093220338983050835	0.1527777777777778
103	ChimeraTE	100x	29	118	12	17	106	0.41379310344827586	0.1016949152542373	0.16326530612244897
104	TEDDY	5x	54	114	54	0	60	1	0.47368421052631576	0.6428571428571429
104	TEDDY	10x	68	114	68	0	46	1	0.5964912280701754	0.7472527472527473
104	TEDDY	25x	87	114	87	0	27	1	0.7631578947368421	0.8656716417910447
104	TEDDY	50x	98	114	98	0	16	1	0.8596491228070176	0.9245283018867924
104	TEDDY	100x	108	114	108	0	6	1	0.9473684210526316	0.972972972972973
104	TEProf2	5x	15	27	6	9	21	0.4	0.2222222222222222	0.2857142857142857
104	TEProf2	10x	22	27	10	12	17	0.4545454545454546	0.3703703703703703	0.40816326530612246
104	TEProf2	25x	24	27	12	12	15	0.5	0.4444444444444444	0.4705882352941176
104	TEProf2	50x	26	27	12	14	15	0.4615384615384616	0.4444444444444444	0.4528301886792453
104	TEProf2	100x	28	27	13	15	14	0.4642857142857143	0.48148148148148145	0.4727272727272727
104	FREDY	5x	267	144	136	131	8	0.5093632958801498	0.9444444444444444	0.6618004866180048
104	FREDY	10x	267	144	137	130	7	0.5131086142322098	0.9513888888888888	0.6666666666666666
104	FREDY	25x	268	144	138	130	6	0.5149253731343284	0.9583333333333334	0.6699029126213593
104	FREDY	50x	268	144	138	130	6	0.5149253731343284	0.9583333333333334	0.6699029126213593
104	FREDY	100x	269	144	139	130	5	0.516728624535316	0.9652777777777778	0.6731234866828087
